fid,VarZ,X,Y
"417",0,"677685","3376255"
"418",0,"677785","3376255"
"419",0,"677885","3376255"
"420",0,"677985","3376255"
"421",0,"678085","3376255"
"422",0,"678185","3376255"
"423",0,"678285","3376255"
"424",0,"678385","3376255"
"425",0,"678485","3376255"
"426",0,"678585","3376255"
"427",0,"678685","3376255"
"428",0,"678785","3376255"
"429",0,"678885","3376255"
"430",0,"678985","3376255"
"431",0,"679085","3376255"
"432",0,"679185","3376255"
"433",0,"679285","3376255"
"434",0,"679385","3376255"
"435",0,"679485","3376255"
"436",0,"679585","3376255"
"437",0,"679685","3376255"
"438",0,"679785","3376255"
"439",0,"679885","3376255"
"440",0,"679985","3376255"
"441",0,"680085","3376255"
"442",0,"680185","3376255"
"443",0,"680285","3376255"
"444",0,"680385","3376255"
"445",0,"680485","3376255"
"446",0,"680585","3376255"
"447",0,"680685","3376255"
"448",0,"680785","3376255"
"449",0,"680885","3376255"
"450",0,"680985","3376255"
"451",0,"681085","3376255"
"452",0,"681185","3376255"
"453",0,"681285","3376255"
"454",0,"681385","3376255"
"455",0,"681485","3376255"
"456",0,"681585","3376255"
"457",0,"681685","3376255"
"458",0,"681785","3376255"
"459",0,"681885","3376255"
"460",0,"681985","3376255"
"461",0,"682085","3376255"
"462",0,"682185","3376255"
"463",0,"682285","3376255"
"464",0,"682385","3376255"
"465",0,"682485","3376255"
"466",0,"682585","3376255"
"467",0,"682685","3376255"
"468",0,"682785","3376255"
"469",0,"682885","3376255"
"470",0,"682985","3376255"
"471",0,"683085","3376255"
"472",0,"683185","3376255"
"473",0,"683285","3376255"
"474",0,"683385","3376255"
"475",0,"683485","3376255"
"476",0,"683585","3376255"
"477",0,"683685","3376255"
"478",0,"683785","3376255"
"479",0,"683885","3376255"
"480",0,"683985","3376255"
"481",0,"684085","3376255"
"482",0,"684185","3376255"
"483",0,"684285","3376255"
"484",0,"684385","3376255"
"485",0,"684485","3376255"
"486",0,"684585","3376255"
"487",0,"684685","3376255"
"488",0,"684785","3376255"
"489",0,"684885","3376255"
"490",0,"684985","3376255"
"491",0,"685085","3376255"
"492",0,"685185","3376255"
"493",0,"685285","3376255"
"494",0,"685385","3376255"
"495",0,"685485","3376255"
"496",0,"685585","3376255"
"497",0,"685685","3376255"
"498",0,"685785","3376255"
"499",0,"685885","3376255"
"500",0,"685985","3376255"
"501",0,"686085","3376255"
"502",0,"686185","3376255"
"503",0,"686285","3376255"
"504",0,"686385","3376255"
"505",0,"686485","3376255"
"506",0,"686585","3376255"
"507",0,"686685","3376255"
"508",0,"686785","3376255"
"509",0,"686885","3376255"
"510",0,"686985","3376255"
"511",0,"687085","3376255"
"512",0,"687185","3376255"
"513",0,"687285","3376255"
"514",0,"687385","3376255"
"515",0,"687485","3376255"
"516",0,"687585","3376255"
"517",0,"687685","3376255"
"518",0,"687785","3376255"
"519",0,"687885","3376255"
"520",0,"687985","3376255"
"521",0,"688085","3376255"
"522",0,"688185","3376255"
"523",0,"688285","3376255"
"524",0,"688385","3376255"
"525",0,"688485","3376255"
"526",0,"688585","3376255"
"527",0,"688685","3376255"
"528",0,"688785","3376255"
"529",0,"688885","3376255"
"530",0,"688985","3376255"
"531",0,"689085","3376255"
"532",0,"689185","3376255"
"533",0,"689285","3376255"
"534",0,"689385","3376255"
"535",0,"689485","3376255"
"536",0,"689585","3376255"
"537",0,"689685","3376255"
"538",0,"689785","3376255"
"539",0,"689885","3376255"
"540",0,"689985","3376255"
"541",0,"690085","3376255"
"542",0,"690185","3376255"
"543",0,"690285","3376255"
"544",0,"690385","3376255"
"545",0,"690485","3376255"
"546",0,"690585","3376255"
"547",0,"690685","3376255"
"548",0,"690785","3376255"
"549",0,"690885","3376255"
"550",0,"690985","3376255"
"551",0,"691085","3376255"
"552",0,"691185","3376255"
"553",0,"691285","3376255"
"554",0,"691385","3376255"
"555",0,"691485","3376255"
"556",0,"691585","3376255"
"557",0,"691685","3376255"
"558",0,"691785","3376255"
"559",0,"691885","3376255"
"560",0,"691985","3376255"
"561",0,"692085","3376255"
"562",0,"692185","3376255"
"563",0,"692285","3376255"
"564",0,"692385","3376255"
"565",0,"692485","3376255"
"566",0,"692585","3376255"
"567",0,"692685","3376255"
"568",0,"692785","3376255"
"569",0,"692885","3376255"
"570",0,"692985","3376255"
"571",0,"693085","3376255"
"572",0,"693185","3376255"
"573",0,"693285","3376255"
"574",0,"693385","3376255"
"575",0,"693485","3376255"
"576",0,"693585","3376255"
"577",0,"693685","3376255"
"578",0,"693785","3376255"
"579",0,"693885","3376255"
"580",0,"693985","3376255"
"581",0,"694085","3376255"
"582",0,"694185","3376255"
"583",0,"694285","3376255"
"584",0,"694385","3376255"
"585",0,"694485","3376255"
"586",0,"675085","3376155"
"587",0,"675185","3376155"
"588",0,"675285","3376155"
"589",0,"675385","3376155"
"590",0,"675485","3376155"
"591",0,"675585","3376155"
"592",0,"675685","3376155"
"593",0,"675785","3376155"
"594",0,"675885","3376155"
"595",0,"675985","3376155"
"596",0,"676085","3376155"
"597",0,"676185","3376155"
"598",0,"676285","3376155"
"599",0,"676385","3376155"
"600",0,"676485","3376155"
"601",0,"676585","3376155"
"602",0,"676685","3376155"
"603",0,"676785","3376155"
"604",0,"676885","3376155"
"605",0,"676985","3376155"
"606",0,"677085","3376155"
"607",0,"677185","3376155"
"608",0,"677285","3376155"
"609",0,"677385","3376155"
"610",0,"677485","3376155"
"611",0,"677585","3376155"
"612",0,"677685","3376155"
"613",0,"677785","3376155"
"614",0,"677885","3376155"
"615",0,"677985","3376155"
"616",0,"678085","3376155"
"617",0,"678185","3376155"
"618",0,"678285","3376155"
"619",0,"678385","3376155"
"620",0,"678485","3376155"
