LOCAL_WELL,OWNERS_NAM,WATER_LEVE,AQUIFER_NA,WELL_STATU
6041Z,SOUTHLAND CORP,2,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Active
6042Z,SOUTHLAND CORP,3.5,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Active
6043Z,SOUTHLAND CORP,5,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Active
6046Z,SOUTHLAND CORP,2.5,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Active
5956Z,SOUTHLAND CORP,2,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Active
5957Z,SOUTHLAND CORP,2,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Active
5958Z,SOUTHLAND CORP,12,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Active
5959Z,SOUTHLAND CORP,1.5,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Active
5960Z,SOUTHLAND CORP,3,MISSISSIPPI RIVER ALLUVIAL AQUIFER SURFICIAL CONFINING,Active
5961Z,SOUTHLAND CORP,5,MISSISSIPPI RIVER ALLUVIAL AQUIFER SURFICIAL CONFINING,Active
5962Z,SOUTHLAND CORP,5,MISSISSIPPI RIVER ALLUVIAL AQUIFER SURFICIAL CONFINING,Active
5963Z,SOUTHLAND CORP,3,MISSISSIPPI RIVER ALLUVIAL AQUIFER SURFICIAL CONFINING,Active
8230Z,STAR ENTERPRISE,0,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
8231Z,"FREEMAN, THOMAS",39,400-FOOT SAND OF BATON ROUGE AREA,Active
8414Z,CRACKER BARREL,10.5,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
8415Z,CRACKER BARREL,15,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
8416Z,CRACKER BARREL,15,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
8417Z,CRACKER BARREL,13,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
8418Z,CRACKER BARREL,8,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
8419Z,CRACKER BARREL,13,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
8420Z,CRACKER BARREL,9,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
8421Z,CRACKER BARREL,18,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
8422Z,CRACKER BARREL,9,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
8423Z,CRACKER BARREL,10,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
8424Z,CRACKER BARREL,9.5,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
7415Z,STAR ENTERPRISE,6,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
7105Z,STAR ENTERPRISE,3,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
7106Z,STAR ENTERPRISE,3,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
5964Z,SOUTHLAND CORP,4,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Active
5966Z,SOUTHLAND CORP,6.21,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Active
5967Z,SOUTHLAND CORP,4.73,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Active
5968Z,SOUTHLAND CORP,6.94,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Active
5969Z,SOUTHLAND CORP,4.97,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Active
5970Z,SOUTHLAND CORP,6.23,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Active
5971Z,SOUTHLAND CORP,4.53,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
8092Z,EXXON CHEMICAL,11.09,MISSISSIPPI RIVER ALLUVIAL AQUIFER SURFICIAL CONFINING,Active
8093Z,EXXON CHEMICAL,12.89,MISSISSIPPI RIVER ALLUVIAL AQUIFER SURFICIAL CONFINING,Active
8094Z,EXXON CHEMICAL,8.54,MISSISSIPPI RIVER ALLUVIAL AQUIFER SURFICIAL CONFINING,Plugged and Abandonded
8095Z,EXXON CHEMICAL,8.91,MISSISSIPPI RIVER ALLUVIAL AQUIFER SURFICIAL CONFINING,Plugged and Abandonded
8097Z,EXXON CHEMICAL,9.95,MISSISSIPPI RIVER ALLUVIAL AQUIFER SURFICIAL CONFINING,Active
7239Z,CHEVRON,4.72,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
7240Z,CHEVRON,5.5,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
7246Z,"COOPER, MICHEAL",28,SHALLOW SANDS OF BATON ROUGE AREA,Active
7612Z,K MART,3.31,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
7613Z,K MART,6.19,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
7614Z,K MART,8.2,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
8425Z,CRACKER BARREL,14,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
8426Z,CRACKER BARREL,13,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
8358Z,SOUTHLAND CORP,,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Active
8359Z,SOUTHLAND CORP,,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Active
8360Z,SOUTHLAND CORP,,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Active
8536Z,"NEAAMS, KEYNON",3,SHALLOW SANDS OF BATON ROUGE AREA,Active
8546Z,MOTIVA ENTERPRI,7.65,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
8547Z,EXXON MOBIL,3.3,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Active
7121Z,"HUMPHREY, CHARL",26,400-FOOT SAND OF BATON ROUGE AREA,Active
5853Z,EXXON CO USA,8.5,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Active
5854Z,EXXON CO USA,8,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Active
5855Z,EXXON CO USA,8.5,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Active
5857Z,EXXON CO USA,6.4,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Active
5937Z,LSU EXP STATION,0,600-FOOT SAND OF BATON ROUGE AREA,Plugged and Abandonded
5938Z,STAR ENTERPRISE,5.4,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
5939Z,STAR ENTERPRISE,5.4,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
5940Z,STAR ENTERPRISE,5.4,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
6487Z,BR CRAWFISH,45,SHALLOW SANDS OF BATON ROUGE AREA,Active
7196Z,MERIDIAN OIL,2.73,MISSISSIPPI RIVER ALLUVIAL AQUIFER SURFICIAL CONFINING,Active
7197Z,MERIDIAN OIL,3.35,MISSISSIPPI RIVER ALLUVIAL AQUIFER SURFICIAL CONFINING,Active
7198Z,MERIDIAN OIL,2.42,MISSISSIPPI RIVER ALLUVIAL AQUIFER SURFICIAL CONFINING,Active
7199Z,"SMITH, SHARON",26,400-FOOT SAND OF BATON ROUGE AREA,Active
7200Z,CHEVRON,5.5,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
7201Z,CHEVRON,9.18,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
7202Z,CHEVRON,6.51,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
7203Z,CHEVRON,5.62,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
7204Z,CHEVRON,9.9,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
9330Z,ITT,1.61,[TO BE DETERMINED],Plugged and Abandonded
9332Z,ITT,1.07,[TO BE DETERMINED],Plugged and Abandonded
9333Z,ITT,3.43,[TO BE DETERMINED],Active
9334Z,CHEVRON EMC,4.54,[TO BE DETERMINED],Active
8774Z,CHEVRON PRODUCT,5.43,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
8775Z,CHEVRON PRODUCT,4.22,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
8776Z,CHEVRON PRODUCT,4.96,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
8777Z,CHEVRON PRODUCT,3.74,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
7502Z,EXXON CO USA,4.02,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
7504Z,STAR ENTERPRISE,0,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
7122Z,"DUPRE, BRENT",28,400-FOOT SAND OF BATON ROUGE AREA,Active
7128Z,EXXON CO USA,4.3,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Active
6465Z,SOUTHLAND CORP,2.01,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Active
6467Z,SOUTHLAND CORP,3.86,MISSISSIPPI RIVER ALLUVIAL AQUIFER SURFICIAL CONFINING,Active
6468Z,SOUTHLAND CORP,8.91,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Active
6469Z,SOUTHLAND CORP,13.12,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Active
6470Z,SOUTHLAND CORP,6.38,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
6471Z,SOUTHLAND CORP,6.05,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Active
7970Z,BFI,0,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
7971Z,BFI,0,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
7972Z,BFI,0,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
7976Z,WHITNEY BANK,6.84,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
7110Z,"LANDRY, ARNOLD",32,800-FOOT SAND OF BATON ROUGE AREA,Active
7112Z,GMAC,3.71,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
7113Z,GMAC,6.11,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
8248Z,MARABELLAS 66,8.58,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
8249Z,MARABELLAS 66,9.75,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
8251Z,"BRADFORD, DON",20,SHALLOW SANDS OF BATON ROUGE AREA,Active
7505Z,CHEVRON,0,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
7508Z,BLUEBONNET VIL,14,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
7510Z,BLUEBONNET VIL,10,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
7691Z,EXXON CHEMICAL,5.3,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Active
7692Z,EXXON CHEMICAL,5.46,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Active
7456Z,RESOLUTION TRUS,6.95,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Active
7457Z,RESOLUTION TRUS,5.65,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Active
7458Z,STAR ENTERPRISE,14.8,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
7460Z,STAR ENTERPRISE,12.3,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
7461Z,STAR ENTERPRISE,12.6,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
7463Z,SOUTHLAND CORP,4,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
7608Z,LENNAR CENTRAL,10.5,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
7610Z,LENNAR CENTRAL,10.5,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
7611Z,K MART,5.65,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
6472Z,SOUTHLAND CORP,2.46,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
8119Z,K MART,5.2,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
8120Z,K MART,5.5,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
8121Z,K MART,6.5,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
8122Z,RITE AID INC,3.52,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
8123Z,RITE AID INC,2.56,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Destroyed
8124Z,RITE AID INC,2.17,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
8125Z,RITE AID INC,6.03,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
8127Z,RITE AID INC,5.25,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
8128Z,RITE AID INC,9.39,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
8132Z,"CHAMBERS, D",20,400-FOOT SAND OF BATON ROUGE AREA,Active
7114Z,GMAC,5.43,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
7115Z,GMAC,3.97,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
7116Z,GMAC,2.74,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
7234Z,J & S POOL PRO,3,MISSISSIPPI RIVER ALLUVIAL AQUIFER SURFICIAL CONFINING,Active
7237Z,CHEVRON,3.93,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
7238Z,CHEVRON,4.94,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
6245Z,TEXACO,0,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Destroyed
6246Z,TEXACO,0,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Destroyed
7500Z,EXXON CO USA,0,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
7501Z,EXXON CO USA,0,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
7448Z,EXXON CO USA,0,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
7449Z,EXXON CO USA,0,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
8548Z,EXXON MOBIL,2.9,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Active
8549Z,EXXON MOBIL,3.13,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Active
9335Z,CHEVRON EMC,1.35,[TO BE DETERMINED],Active
9336Z,CHEVRON EMC,0,[TO BE DETERMINED],Plugged and Abandonded
9501Z,P&S PETRO,0,[TO BE DETERMINED],Active
9502Z,P&SPETRO,0,[TO BE DETERMINED],Active
9503Z,P&S PETRO,0,[TO BE DETERMINED],Active
9504Z,P&S PETRO,0,[TO BE DETERMINED],Active
8450Z,CHEVRON PRODUCT,4.9,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
8451Z,CIRCLE K,12.25,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
8452Z,CIRCLE K,13.2,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
8453Z,CIRCLE K,4.7,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
8454Z,CIRCLE K,3.9,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
8455Z,CIRCLE K,12.55,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
8456Z,CIRCLE K,12.77,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
8457Z,CIRCLE K,14,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
8458Z,CIRCLE K,13,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
8459Z,CIRCLE K,15.5,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
7663Z,EXXON CO USA,9,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Active
7099Z,STAR ENTERPRISE,4,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Active
7100Z,STAR ENTERPRISE,4,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Active
7101Z,STAR ENTERPRISE,8,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Active
7102Z,STAR ENTERPRISE,4,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Active
6079Z,"WALKER, FLOY E",0,400-FOOT SAND OF BATON ROUGE AREA,Active
6080Z,"VIDRINE, GEORGE",12,SHALLOW SANDS OF BATON ROUGE AREA,Active
6081Z,TEXACO,0,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Active
6082Z,TEXACO,0,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Active
6083Z,TEXACO,0,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Active
6085Z,TEXACO,0,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Active
6231Z,TEXACO,2.3,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
5942Z,STAR ENTERPRISE,5.4,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
5943Z,STAR ENTERPRISE,5.4,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
5944Z,LA STATE LANDS,0,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Active
5945Z,LA STATE LANDS,0,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Active
5946Z,RYDER TRUCK,11.2,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Active
5947Z,RYDER TRUCK,15.1,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Active
5948Z,EXXON CO USA,0,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Active
5949Z,EXXON CO USA,0,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Active
5950Z,EXXON CO USA,0,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
5951Z,EXXON CO USA,0,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
5952Z,CHEVRON,0,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Active
5954Z,CHEVRON,0,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Active
7450Z,EXXON CO USA,0,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
7451Z,EXXON CO USA,0,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
7452Z,EXXON CO USA,0,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
7453Z,EXXON CO USA,0,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
7454Z,EXXON CO USA,0,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
8607Z,EXXON MOBIL,4.59,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
8608Z,EXXON MOBIL,4.31,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
8609Z,EXXON MOBIL,4.75,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
8191Z,TEXACO,0,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
8192Z,EXXON CO USA,5.6,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
8343Z,SOUTHLAND CORP,,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Active
8344Z,SOUTHLAND CORP,,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Active
8345Z,SOUTHLAND CORP,,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Active
8346Z,SOUTHLAND CORP,,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Active
8347Z,SOUTHLAND CORP,,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Active
8348Z,SOUTHLAND CORP,,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Active
8349Z,SOUTHLAND CORP,,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Active
8350Z,SOUTHLAND CORP,,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Active
8351Z,SOUTHLAND CORP,,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Active
8352Z,SOUTHLAND CORP,,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Active
8353Z,SOUTHLAND CORP,,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Active
8013Z,UNKNOWN,0,[UNKNOWN],Plugged and Abandonded
8044Z,WHITNEY BANK,10.68,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Destroyed
8045Z,WHITNEY BANK,10.13,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
8046Z,WHITNEY BANK,10.58,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
8047Z,WHITNEY BANK,9.96,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
8048Z,WHITNEY BANK,10.36,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
8049Z,WHITNEY BANK,10.36,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
8050Z,WHITNEY BANK,9.87,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
8051Z,WHITNEY BANK,10.19,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Destroyed
8052Z,WHITNEY BANK,9.59,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
8053Z,WHITNEY BANK,11.96,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
7225Z,CHEVRON,8.32,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
7226Z,CHEVRON,6.11,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
5997Z,SOUTHLAND CORP,12.93,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Active
5998Z,SOUTHLAND CORP,2.43,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Active
5999Z,SOUTHLAND CORP,12.93,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Active
6000Z,SOUTHLAND CORP,5,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Active
6001Z,SOUTHLAND CORP,5,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Active
6002Z,SOUTHLAND CORP,5,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
6003Z,SOUTHLAND CORP,5,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Active
6004Z,SOUTHLAND CORP,1.5,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Active
6005Z,SOUTHLAND CORP,2,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Active
7464Z,SOUTHLAND CORP,4,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
