LOCAL_WELL,OWNERS_NAM,WATER_LEVE,AQUIFER_NA,WELL_STATU
8212Z,OAKBROOK SUBDIV,8,SHALLOW SANDS OF BATON ROUGE AREA,Active
8354Z,SOUTHLAND CORP,,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Active
8551Z,EXXON MOBIL,8.81,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Active
5464Z,EB PUBLIC WORKS,0,MISSISSIPPI RIVER ALLUVIAL AQUIFER SURFICIAL CONFINING,Active
793,U S GEOL SURVEY,95.75,600-FOOT SAND OF BATON ROUGE AREA,Active
1222,"SLAGHTER, W",0,SHALLOW SANDS OF BATON ROUGE AREA,Active
704,"SHARP, G",21,SHALLOW SANDS OF BATON ROUGE AREA,Active
5483Z,"BARKSDALE, DOUG",0,[NO WELL MADE],Active
725,COASTAL CONST,0,400-FOOT SAND OF BATON ROUGE AREA,Active
8887Z,BR PUBLIC WORKS,14,PLEISTOCENE SERIES,Active
8947Z,BR PUBLIC WORKS,4.94,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Active
9250Z,DELTA CONCRETE,2.75,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Active
1197,LA CONCRETE,8,400-FOOT SAND OF BATON ROUGE AREA,Active
680,"DAY, K",17,SHALLOW SANDS OF BATON ROUGE AREA,Active
604,MASONIC LODGE,0,SHALLOW SANDS OF BATON ROUGE AREA,Active
618,WITTER ESTATE,63.54,1200-FOOT SAND OF BATON ROUGE AREA,Active
8096Z,EXXON CHEMICAL,8.76,MISSISSIPPI RIVER ALLUVIAL AQUIFER SURFICIAL CONFINING,Active
5992Z,SOUTHLAND CORP,8,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Active
7465Z,SOUTHLAND CORP,11,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Active
7927Z,BFI,7.2,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Active
7455Z,RESOLUTION TRUS,7.75,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Active
216,REULET ELECTRIC,0,400-FOOT SAND OF BATON ROUGE AREA,Active
5351Z,"BENTON, FRED",0,[NO WELL MADE],Active
1183,"GRICE, BOBBY",47,SHALLOW SANDS OF BATON ROUGE AREA,Active
7086Z,"JOLISSAINT, GEO",15,SHALLOW SANDS OF BATON ROUGE AREA,Active
